word,cnt
since,739
i,23271
spend,168
most,1122
my,6501
time,2066
working,187
relaxing,8
in,11917
the,53619
kitchen,206
this,12873
tv,468
corner,40
cabinets,19
gets,361
more,2726
use,2252
than,2087
larger,178
inch,149
size,459
is,17216
perfect,498
especially,354
connected,73
service,99
also,1937
have,6860
roku,18
bring,88
amazon,447
prime,52
instant,29
video,375
some,2317
other,1996
favorite,214
channels,45
such,521
as,6268
happily,20
with,8636
its,4173
two,1131
hdmi,107
outlets,13
it,19564
can,3572
be,4537
both,648
cable,338
add,260
dvd,437
that,10756
device,283
takes,355
up,3116
little,1488
room,378
now,1092
if,3862
would,2563
only,2031
do,1938
dishes,50
when,2893
comes,536
best,967
bang,22
for,10747
your,2788
buck,27
speaker,103
system,513
where,862
at,3599
could,1117
not,6183
believe,241
offering,14
package,125
great,2339
price,832
you,10139
want,1038
sound,541
are,5790
on,7721
budget,57
then,1500
ton,51
money,364
but,7463
still,1276
wanted,415
get,2829
set,965
sounded,25
good,2491
after,1355
much,1919
research,70
into,1417
several,394
different,610
systems,47
from,3133
companies,28
finally,231
decided,244
go,995
one,4082
hoping,70
wouldnt,200
disappointed,192
let,311
me,2187
tell,216
am,1121
glad,146
did,1072
no,2063
buyers,15
remorse,3
here,498
website,63
check,113
specs,17
against,196
others,320
will,2734
find,771
they,3415
hold,384
cost,177
three,396
times,591
had,2348
point,403
out,3018
thing,942
entire,148
just,3301
awesome,231
say,830
subwoofer,12
even,1745
though,731
supposed,119
over,1190
watts,4
seems,534
underpowered,2
tastes,28
dont,1903
wrong,237
crap,46
actually,588
has,2637
very,2928
clean,382
prefer,117
lot,806
booming,5
loud,124
bass,82
all,3558
love,1003
well,2155
classy,9
these,1756
speakers,168
line,273
black,289
metal,223
stands,48
wall,131
mount,227
made,1023
provides,75
an,2898
extremely,219
secure,99
base,145
hanging,48
attached,98
trouble,117
attaching,17
reason,293
give,585
five,141
stars,393
because,1710
who,1309
purchased,377
discovered,47
commented,13
difficult,249
attach,63
cables,100
once,534
secured,20
additionally,12
tilt,28
mechanism,48
easily,469
manipulated,2
mounted,98
their,1054
clearance,14
between,403
screen,492
like,3529
look,649
nice,902
tight,170
fit,598
does,1261
make,1286
adjustments,43
wires,34
or,3822
quite,565
first,1457
drive,299
pretty,840
speedy,5
plugged,81
usb,271
ports,56
used,1113
back,1099
bunch,91
photos,77
been,1337
editing,23
newer,53
laptop,164
while,1005
think,973
how,1187
long,723
took,368
comparison,52
generally,61
expect,248
kept,122
waiting,78
slower,24
drives,104
was,5972
significantly,24
faster,89
done,425
sure,647
data,34
copied,10
take,737
nearly,132
anticipated,12
enough,925
folders,6
were,1282
simply,286
designed,170
too,1331
nothing,369
flashy,9
fancy,25
quiet,88
stays,79
cool,308
im,1279
happy,355
cant,714
tb,27
external,56
we,1330
those,681
composition,3
books,57
school,88
home,351
work,971
myself,259
about,2447
chillin,1
around,835
various,126
notes,30
written,70
dirty,41
picture,261
so,4549
saw,244
verso,1
kindle,56
cover,282
adorable,7
book,169
outside,144
inside,280
exactly,167
lined,13
paper,92
really,2058
soft,132
touch,167
write,64
lines,86
meeting,15
knew,94
reading,148
thought,494
taking,157
problem,528
see,1081
getting,539
awhile,34
seeing,149
keyboard,223
deterred,2
by,1952
fire,147
hd,143
bout,11
years,730
ago,222
antenna,49
specialist,3
sold,76
us,306
unit,343
channel,53
master,64
old,681
worked,289
he,1190
convinced,10
better,1291
immediately,91
lost,155
our,487
stations,22
got,922
fed,13
cm,11
ordered,208
biggest,90
available,175
missing,92
clear,193
strong,195
found,606
know,815
existed,7
sorry,76
waited,28
switch,152
understand,150
reviews,442
camera,496
meant,69
kids,246
year,380
olds,3
given,199
few,900
cameras,66
which,1947
lasted,32
maybe,298
month,114
failed,61
dropped,74
them,1925
any,1304
going,676
fail,48
dropping,31
feet,138
using,879
week,163
taken,120
water,634
havent,289
problems,294
leaking,19
fogging,7
pool,22
looked,189
dollar,34
batteries,172
last,508
replaced,81
days,290
partial,12
original,360
standard,170
came,430
box,439
battery,323
compartment,40
gives,168
latch,21
holds,178
safety,36
lock,105
close,251
together,309
under,341
fish,40
reef,2
never,824
noticed,135
flash,98
off,1259
plenty,157
bright,137
partly,13
cloudy,8
day,527
night,228
unless,173
dark,184
again,574
bought,880
beach,49
during,307
expensive,200
shots,100
fix,87
issue,285
menu,35
option,137
auto,61
light,557
sensor,22
accurate,99
somewhat,141
covered,51
finger,79
what,1820
experienced,52
highly,316
recommend,687
snorkeling,4
lit,28
areas,78
hence,18
star,346
rating,119
instead,329
d,223
lens,237
purchase,302
mm,137
october,8
leave,197
settings,127
went,285
hockey,16
game,3824
happened,87
photo,47
f,81
stop,165
show,353
icon,10
blinking,17
happening,29
sent,90
replacement,127
pictures,116
soccer,13
guess,195
yes,209
read,325
manual,81
means,170
there,2301
anything,419
internet,109
anyone,318
else,242
having,521
updated,26
firmware,30
fine,443
unattached,1
plan,111
contacting,5
warranty,55
instructor,11
says,123
bad,603
person,208
hope,174
same,855
n,62
every,633
comics,12
stream,26
pc,158
email,31
surf,3
web,57
cheap,304
compared,165
volume,112
high,433
need,947
headphones,138
changed,89
yet,420
unable,29
connect,110
wifi,63
without,756
turning,75
security,40
setup,146
connection,114
until,349
makes,735
sense,144
someplace,3
free,196
kind,283
mistake,48
should,691
happen,105
heavy,303
duty,90
case,719
built,162
protector,39
doing,273
ballistic,3
sg,2
